trials.tilt,trials.key_resp.keys,trials.key_resp.corr
0,down,0
0,up,1
0,up,1
0,up,1
0,down,0
-3,down,1
-4,up,0
-5,down,1
0,up,1
-4,up,0
0,up,1
0,up,1
-3,up,0
-3,down,1
0,down,0
0,down,0
-2,down,1
0,down,0
0,up,1
-2,up,0
-4,up,0
-2,up,0
0,up,1
-2,up,0
0,up,1
-4,down,1
0,up,1
0,up,1
-3,up,0
0,up,1
-2,up,0
-2,down,1
0,up,1
0,down,0
-2,down,1
0,up,1
0,down,0
0,down,0
-2,down,1
-2,up,0
-2,up,0
-3,up,0
-5,up,0
0,up,1
0,down,0
0,up,1
0,down,0
0,down,0
-2,up,0
-3,down,1
-3,up,0
0,up,1
-3,down,1
-4,up,0
-5,up,0
-2,down,1
-2,up,0
-5,up,0
-3,up,0
0,down,0
0,down,0
-5,up,0
-3,up,0
-2,up,0
-4,up,0
-3,up,0
-3,down,1
-5,up,0
0,down,0
0,down,0
-5,up,0
-3,down,1
-3,down,1
0,down,0
-5,down,1
0,down,0
-3,up,0
0,up,1
0,down,0
0,up,1
0,down,0
-5,up,0
-4,up,0
0,up,1
-3,up,0
0,down,0
0,down,0
0,down,0
-5,up,0
0,down,0
0,down,0
-4,down,1
0,up,1
0,down,0
0,down,0
-3,up,0
0,up,1
-5,down,1
0,up,1
0,down,0
